1227,2112,1307,2112,1307,2246,1227,2246,言
1220,2261,1307,2261,1307,2374,1220,2374,已
1210,2422,1305,2422,1305,2541,1210,2541,世
1140,815,1221,815,1221,948,1140,948,爲
1139,960,1246,960,1246,1107,1139,1107,鄭
1137,1112,1240,1112,1240,1245,1137,1245,國
1135,1270,1224,1270,1224,1393,1135,1393,宗
1137,1408,1240,1408,1240,1555,1137,1555,廟
1133,1557,1232,1557,1232,1686,1133,1686,之
1124,1700,1227,1700,1227,1821,1124,1821,守
1124,1834,1223,1834,1223,1961,1124,1961,臣
1112,2111,1225,2111,1225,2240,1112,2240,祏
1113,2245,1212,2245,1212,2384,1113,2384,音
1109,2396,1206,2396,1206,2519,1109,2519,石
1107,2557,1298,2557,1298,2713,1107,2713,社
1106,2725,1290,2725,1290,2887,1106,2887,稷
1106,2906,1287,2906,1287,3063,1106,3063,有
1120,3072,1294,3072,1294,3232,1120,3232,主
1021,816,1126,816,1126,969,1021,969,鄭
1021,983,1117,983,1117,1107,1021,1107,子
1011,1130,1112,1130,1112,1275,1011,1275,儀
1015,1279,1116,1279,1116,1404,1015,1404,旣
1011,1413,1110,1413,1110,1556,1011,1556,爲
1003,1569,1112,1569,1112,1701,1003,1701,鄭
927,810,1018,810,1018,938,927,938,國
925,973,1019,973,1019,1103,925,1103,社
919,1133,1011,1133,1011,1257,919,1257,稷
922,1292,1006,1292,1006,1388,922,1388,之
916,1426,1003,1426,1003,1538,916,1538,主
921,1704,1108,1704,1108,1831,921,1831,而
908,1848,1096,1848,1096,1983,908,1983,外
910,1987,1095,1987,1095,2142,910,2142,其
909,2160,1072,2160,1072,2260,909,2260,心
978,2276,1091,2276,1091,2407,978,2407,更
982,2418,1093,2418,1093,2573,982,2573,復
985,2606,1087,2606,1087,2724,985,2724,謀
975,2763,1074,2763,1074,2904,975,2904,納
977,2915,1077,2915,1077,3064,977,3064,厲
889,2286,976,2286,976,2401,889,2401,公
888,2445,977,2445,977,2563,888,2563,是
883,2615,978,2615,978,2740,883,2740,外
880,2773,969,2773,969,2915,880,2915,其
882,2937,977,2937,977,3045,882,3045,心
909,3074,1076,3074,1076,3237,909,3237,其
723,755,896,755,896,928,723,928,何
726,928,903,928,903,1097,726,1097,貳
708,1104,895,1104,895,1251,708,1251,如
713,1265,894,1265,894,1412,713,1412,之
800,1416,901,1416,901,1547,800,1547,其
801,1567,885,1567,885,1696,801,1696,何
796,1712,891,1712,891,1847,796,1847,貳
707,1425,802,1425,802,1538,707,1538,心
694,1581,795,1581,795,1708,694,1708,如
695,1706,792,1706,792,1817,695,1817,之
704,1845,879,1845,879,2004,704,2004,苟
691,2016,874,2016,874,2149,691,2149,主
692,2145,881,2145,881,2270,692,2270,社
685,2294,875,2294,875,2443,685,2443,稷
775,2450,872,2450,872,2595,775,2595,苟
782,2606,863,2606,863,2730,782,2730,主
758,2777,855,2777,855,2914,758,2914,鄭
763,2924,868,2924,868,3055,763,3055,國
764,3091,857,3091,857,3210,764,3210,之
672,2441,775,2441,775,2567,672,2567,社
671,2620,771,2620,771,2742,671,2742,稷
669,2762,764,2762,764,2885,669,2885,以
672,2922,755,2922,755,3079,672,3079,爲
660,3116,761,3116,761,3239,660,3239,君
523,781,680,781,680,950,523,950,國
515,953,678,953,678,1112,515,1112,內
506,1103,679,1103,679,1248,506,1248,之
516,1255,675,1255,675,1422,516,1422,民
580,1419,685,1419,685,1540,580,1540,凡
584,1549,683,1549,683,1692,584,1692,在
571,1727,668,1727,668,1850,571,1850,國
499,1437,581,1437,581,1555,499,1555,內
493,1572,578,1572,578,1679,493,1679,之
490,1721,568,1721,568,1840,490,1840,民
489,1847,666,1847,666,2008,489,2008,其
485,2017,662,2017,662,2157,485,2157,誰
496,2163,665,2163,665,2300,496,2300,不
481,2288,640,2288,640,2455,481,2455,爲
497,2454,642,2454,642,2603,497,2603,臣
562,2606,647,2606,647,2745,562,2745,其
554,2753,647,2753,647,2886,554,2886,誰
553,2946,644,2946,644,3069,553,3069,敢
534,3102,645,3102,645,3217,534,3217,不
463,2618,554,2618,554,2743,463,2743,爲
459,2775,543,2775,543,2887,459,2887,之
468,2946,552,2946,552,3057,468,3057,臣
312,778,475,778,475,953,312,953,臣
300,953,473,953,473,1126,300,1126,無
301,1137,474,1137,474,1264,301,1264,二
285,1284,458,1284,458,1409,285,1409,心
372,1414,473,1414,473,1559,372,1559,爲
366,1568,469,1568,469,1681,366,1681,人
374,1724,473,1724,473,1849,374,1849,臣
365,1865,466,1865,466,1990,365,1990,不
356,2015,459,2015,459,2140,356,2140,敢
277,1428,376,1428,376,1557,277,1557,懷
278,1597,364,1597,364,1685,278,1685,二
273,1728,370,1728,370,1841,273,1841,心
270,1856,359,1856,359,1994,270,1994,事
264,2045,349,2045,349,2156,264,2156,君
265,2158,452,2158,452,2324,265,2324,天
270,2325,453,2325,453,2453,270,2453,之
274,2456,445,2456,445,2617,274,2617,制
274,2618,447,2618,447,2755,274,2755,也
351,2786,454,2786,454,2901,351,2901,Ｘ
351,2944,442,2944,442,3064,351,3064,上
334,3120,437,3120,437,3224,334,3224,天
257,2769,348,2769,348,2882,257,2882,之
246,2932,347,2932,347,3079,246,3079,所
235,3090,340,3090,340,3225,235,3225,制
170,796,265,796,265,935,170,935,言
177,975,272,975,272,1092,177,1092,天
146,1118,272,1118,272,1236,146,1236,理
82,800,161,800,161,933,82,933,自
76,968,173,968,173,1101,76,1101,然
83,1243,250,1243,250,1398,83,1398,子
71,1403,250,1403,250,1574,71,1574,儀
77,1577,256,1577,256,1714,77,1714,在
63,1724,246,1724,246,1865,63,1865,位
153,1863,248,1863,248,1992,153,1992,子
143,2017,248,2017,248,2166,143,2166,儀
147,2179,245,2179,245,2321,147,2321,即
140,2317,239,2317,239,2448,140,2448,鄭
141,2472,226,2472,226,2587,141,2587,子
59,1859,148,1859,148,1996,59,1996,其
57,2018,150,2018,150,2169,57,2169,在
57,2174,146,2174,146,2295,57,2295,君
51,2311,148,2311,148,2434,51,2434,位
46,2473,140,2473,140,2574,46,2574,也
66,2603,233,2603,233,2750,66,2750,十
56,2754,225,2754,225,2877,56,2877,四
62,2880,227,2880,227,3031,62,3031,年
59,3044,212,3044,212,3214,59,3214,矣
